Time(s),X_cm,Y_cm,X_px_raw,Y_px_raw
0.867,4.787786435050373,9.089082047373903,1137.0,938.0
0.9,4.805932665905227,9.16321278693561,1137.031,937.064
0.933,4.807399458310373,9.157785141593866,1137.065,937.1254
0.967,4.808867945187309,9.152365468115221,1137.099,937.1867
1.0,4.810410173184705,9.146930120477546,1137.134,937.248
1.033,4.8118769655898355,9.141502475135812,1137.168,937.3094
1.067,4.8133454524667885,9.136082801657151,1137.202,937.3707
1.1,4.814812244871936,9.130655156315418,1137.236,937.4321
1.133,4.816280731748873,9.125235482836771,1137.27,937.4934
1.167,4.817749218625824,9.119815809358109,1137.304,937.5547
1.2,4.8192897521513975,9.114372489857365,1137.339,937.6161
1.233,5.109320433133721,8.507409591994092,1142.776,944.1609
1.267,5.093902629613167,8.422908767128568,1142.809,945.2144
1.3,5.072588599139559,8.255915948367624,1142.993,947.273
1.333,5.085162310350259,8.248352419476909,1143.177,947.3317
1.367,4.70355968195843,7.78451619806153,1139.505,953.8721
1.4,4.671494571758893,7.621333354097776,1139.539,955.9124
1.433,4.946917999052976,7.724148471473176,1142.829,953.9758
1.467,4.978870021969504,7.463646418319677,1143.962,957.0208
1.5,5.005754857029423,7.537552788918605,1144.107,956.0652
1.533,4.897088778279879,7.303707206698873,1143.342,959.149
1.567,4.928487008739599,7.377454100772205,1143.546,958.1838
1.6,4.942938826649457,7.3714743921158,1143.75,958.2187
1.633,5.142602609051696,7.951845768555598,1144.74,950.7438
1.667,5.143911189520438,7.943135602592254,1144.781,950.845
1.7,5.145146028868738,7.934441110787933,1144.821,950.9462
1.733,5.1464546093374945,7.925730944824588,1144.862,951.0474
1.767,5.164634166763852,7.996755083886918,1144.902,950.1486
1.8,5.165942747232593,7.988044917923574,1144.943,950.2498
1.833,5.167251327701336,7.979334751960238,1144.984,950.351
1.867,5.168487861521442,7.970648232019002,1145.024,950.4521
1.9,5.09605532154518,7.9776122250711445,1144.065,950.5533
1.933,5.097218114244844,7.968941379288923,1144.104,950.6544
1.967,5.359339004597366,7.368460804815264,1149.161,957.1926
2.0,5.3420164824997745,7.286239548073713,1149.163,958.2236
2.033,5.355692931839387,6.947734856002812,1150.274,962.2514
2.067,5.430941638400156,6.9253745755465195,1151.312,962.3278
2.1,5.432449224515905,6.918688454105725,1151.35,962.4042
2.133,5.928427832803307,7.0652506564133155,1157.381,959.3799
2.167,5.864214451020588,6.749734289427955,1157.418,963.3305
2.2,5.38653040524529,6.307787241749083,1152.439,969.8533
2.233,5.222801458418485,5.9236708888292355,1151.374,974.8811
2.267,5.217537222426984,5.922473531227145,1151.309,974.9089
2.3,5.219883824862042,5.916833880387961,1151.355,974.9706
2.333,5.2543798245824185,5.651983348648162,1152.533,978.0613
2.367,5.282838140577765,5.721689201686373,1152.71,977.1521
2.4,5.370230978149151,5.690106975250174,1153.931,977.3082
2.433,5.3839344082624585,5.674079599450331,1154.153,977.4656
2.467,5.323896717930744,5.673726382665966,1153.375,977.623
2.5,5.337600148044052,5.657699006866122,1153.597,977.7804
2.533,5.351303578157358,5.641671631066268,1153.819,977.9378
2.567,5.365007008270667,5.625644255266424,1154.041,978.0952
2.6,5.321914036017008,5.70500966934871,1153.263,977.2526
2.633,5.335617466130316,5.688982293548867,1153.485,977.41
2.667,5.34932089624364,5.67295491774901,1153.707,977.5674
2.7,5.362948890764695,5.656935244245087,1153.928,977.7249
2.733,5.376642154047156,5.640860037266727,1154.15,977.8829
2.767,5.082691661510699,5.28227346353777,1151.325,982.9365
2.8,5.09468812069959,5.27525756709561,1151.5,982.9901
2.833,5.0863028351702395,5.189395246932995,1151.628,984.042
2.867,4.97617610259901,4.666938518765035,1151.64,990.5934
2.9,4.957516515857829,4.579877262861255,1151.638,991.6859
2.933,4.927185016359987,4.043759019851984,1152.723,998.1977
2.967,5.040545668190387,4.182571401913616,1153.811,996.2425
3.0,5.04627576341965,4.1776206812574275,1153.899,996.2873
3.033,5.025222744798068,4.01113062900526,1154.085,998.3392
3.067,4.964316347415755,4.0197440256388015,1153.271,998.3912
3.1,4.97715276495029,4.012691235119943,1153.457,998.4431
3.133,5.079072360767908,4.06830717335966,1154.626,997.5156
3.167,4.9247294327639795,3.6855619023629833,1153.679,1002.503
3.2,4.928784252362129,3.6857831882954493,1153.731,1002.49
3.233,5.080025838431638,3.981418021734086,1154.878,998.556
