# time (s), x(cm), y(cm)
0.06,4.3,15.3
0.12,4.4,15.3
0.18,4.5,15.4
0.25,4.6,15.6
0.31,5.5,15.8
0.37,6.6,15.7
0.44,6.8,16
0.5,6.2,15.5
0.56,5.8,15.2
0.62,5.6,15.2
0.68,5.5,15.5
0.75,5.1,16
0.81,4.9,16
0.87,5.3,15.9
0.93,5.4,15.9
1,5.5,16.1
1.06,5.4,16
1.12,5.6,16
1.19,5.6,16
1.25,5.2,15.5
1.31,5.1,15.8
1.37,5.1,15.8
1.43,5.1,15.7
1.5,5,15.7
1.56,4.9,15.7
1.62,4.9,15.7
1.69,4.9,15.8
1.75,5.1,15.8
1.81,5.1,15.7
1.87,4.9,15.5
1.94,4.9,15.6
2,4.8,15.6
2.06,4.8,15.6
2.13,4.7,15.7
2.19,4.8,15.8
2.25,4.8,15.8
2.32,4.6,15.7
2.38,4.5,15.6
2.44,4.5,15.6
2.51,4.5,15.6
2.57,4.4,15.7
2.63,4.3,15.8
2.69,4.2,15.8
2.75,4,15.9
2.82,3.8,16
2.88,3.9,16
2.94,3.8,16.1
3,3.7,16.3
3.07,3.8,16.3
3.13,4.1,16.5
3.19,4.4,17.4
3.26,4.1,18.4
3.32,3.7,20
3.38,3.6,20.4
3.45,3.5,20.5
3.51,3.4,20.8
3.57,3.4,21.1
3.64,3.3,21.5
3.7,3.4,22.5
3.76,3.3,23.3
3.82,4.2,24
3.89,3.7,24.4
3.95,3.7,24.4
4.01,3.6,24.7
4.08,3.6,25.3
4.14,3.8,25.7
4.2,3.9,25.7
4.26,4,25.6
4.33,4.2,25.3
4.39,3.9,25.4
4.45,3.5,25.8
4.51,3.8,26
4.58,3.7,26.5
4.64,3.5,27.1
4.7,3.3,27.3
4.76,3.3,28
4.83,3.6,28.5
4.89,3,28.6
4.95,3.1,28.8
5.01,2.9,29.1
5.08,2.8,29.5
5.14,2.8,29.7
5.2,2.8,29.8
5.26,2.8,29.8
5.33,2.8,29.8
5.39,2.9,29.6
5.45,3,29.6
5.51,3,29.5
5.57,3,29.6
5.64,3,29.6
5.7,3,29.6
5.76,3,29.5
5.83,3.1,29.5
5.89,3,29.8
5.95,2.8,30
6.01,2.7,30
6.07,2.6,30.1
6.14,2.5,30.1
6.2,2.4,30.4
6.26,2.5,30.5
6.32,2.5,30.6
6.38,2.4,30.8
6.45,2.3,30.9
6.51,2.3,31.1
6.57,2.6,31.1
6.64,2.5,31.2
6.7,2.7,31.2
6.76,2.8,31.2
6.82,3,31.3
6.89,3,31.4
6.95,2.8,31.3
7.01,2.7,31.3
7.07,2.8,31.4
7.14,2.8,31.5
7.2,3,31.4
7.32,3.1,31.4
7.39,3.8,31
7.45,3.9,30.9
7.51,4.3,31
7.57,3.7,31.1
7.64,3.9,31.1
7.7,4.1,31.1
7.76,4.1,31.1
7.82,3.6,31.4
7.89,3.6,31.4
7.95,3.7,31.4
8.01,4,31.4
8.07,4.2,31.4
8.14,4.4,31.6
8.2,4.6,31.6
8.26,4.4,31.5
8.32,4.1,31.5
8.38,4.2,31.3
8.45,4.4,31.4
8.51,4.1,31.6
8.57,4.1,31.6
8.63,4.5,31.6
8.7,4.8,31.5
8.76,4.3,31.4
8.82,4.2,31.4
8.89,4.2,31.4
8.95,4.3,31.4
9.01,4.2,31.4
9.07,4.2,31.5
9.13,4,31.6
9.2,4.1,31.6
9.26,4,31.6
9.32,3.9,31.6
9.38,4.1,31.6
9.45,3.8,31.6
9.51,4,31.3
9.57,3.8,31.6
9.63,3.9,31.6
9.7,3.7,31.6
9.76,3.8,31.5
9.83,3.8,31.5
9.89,3.8,31.5
9.95,3.8,31.5
10.01,3.8,31.5
10.08,3.8,31.6
10.14,3.8,31.6
10.2,3.8,31.6
10.27,3.8,31.5
10.33,3.7,31.5
10.39,3.9,31.5
10.46,4.1,31.5
10.52,4.3,31.5
10.58,4.3,31.5
10.65,4.2,31.7
10.71,4.4,31.8
10.77,4.5,31.8
10.83,4.5,31.8
10.9,4.4,31.7
10.96,4.4,31.8
11.02,4.7,31.8
11.08,4.9,32
11.15,5.2,32.1
11.21,5.3,32.3
11.27,5.4,32.4
11.34,5.3,32.5
11.4,5.4,32.6
11.46,5.7,32.7
11.53,6,32.9
11.59,6,33
11.65,6,33.1
11.71,6.1,33.2
11.78,6.1,33.4
11.84,6.1,33.6
11.9,6.1,33.6
11.97,6.2,33.8
12.03,6.2,33.8
12.09,6.3,34
12.15,6.4,34.3
12.22,6.5,34.3
12.28,6.4,34.2
12.34,6.5,34.2
12.4,6.6,34.3
12.47,6.7,34.4
12.53,6.8,34.4
12.59,6.9,34.5
12.65,6.9,34.6
12.72,7,34.7
12.78,7,34.8
12.84,7,34.8
12.9,7,34.9
12.97,7,34.9
13.03,6.9,34.9
13.09,6.8,35
13.16,6.8,35
13.22,6.6,35
13.28,6.4,35
13.35,6.3,35
13.41,6.4,35
13.47,6.5,35.1
13.53,6.5,35.1
13.6,6.5,35.1
13.66,6.5,35.2
13.72,6.5,35.2
13.78,6.5,35.2
13.85,6.5,35.2
13.91,6.6,35.2
13.97,6.7,35.2
14.04,6.6,35.2
14.1,6.4,35.3
14.16,6.4,35.4
14.23,6.3,35.5
14.29,6.2,35.6
14.35,6.3,35.7
14.41,6.4,35.8
14.48,6.4,36
14.54,6.3,36.5
14.6,6,37.1
14.67,6.2,37.7
14.73,6.8,39.1
14.79,6.3,42.1
14.85,4.4,44.9
14.91,2.6,48.4
14.98,2.6,48.4
15.21,2.6,48.4
15.21,2.6,48.4
15.46,2.6,48.4
15.66,2.6,48.4
15.66,2.6,48.4
15.9,2.7,45.5
15.96,2.6,45.6
16.02,2,45
16.09,2,44.9
16.15,1.9,45
16.21,1.9,45.1
16.27,2.1,45.4
16.33,2,45.5
16.4,1.8,45.7
16.46,2,45.7
16.52,1.9,45.7
16.58,1.7,45.5
16.65,1.8,45.6
16.71,1.7,45.6
16.77,1.8,45.8
16.83,2.1,46
16.9,1.8,45.7
16.96,3,47.2
17.02,1.9,45.7
17.09,1.9,45.9
17.15,1.9,45.8
17.21,1.9,45.9
17.27,2,45.9
17.34,2,45.9
17.4,2.5,46.5
17.46,2.2,46.1
17.53,2.5,46.4
17.59,1.6,45.1
17.65,1.7,44.9
17.71,1.4,44.5
17.78,2.4,45.5
17.84,2.4,45.5
17.9,2.4,45.5
17.97,2.4,45.6
18.03,1.8,44.8
18.09,2,45
18.15,2.2,45.2
18.22,2.4,45.5
18.28,2.5,45.2
18.34,3.3,45.9
18.41,3.6,46
18.47,3.3,45.7
18.53,3.4,45.7
18.59,3.7,45.8
18.66,3.7,45.8
18.72,3.7,45.8
18.78,3.7,45.8
18.84,3.8,45.8
18.9,4,45.9
18.97,4.1,45.9
19.03,4.4,46
19.09,4.8,46.1
19.16,5,46
19.22,5.9,46.3
19.28,6.6,46.3
19.34,6.5,46.5
