# time (s), x(cm), y(cm)
0.12,6,7.6
0.18,5.4,7.4
0.24,5.6,7.5
0.31,5.9,7.5
0.37,6.2,7.7
0.43,6.3,8
0.5,6.4,7.8
0.56,6.6,7.8
0.62,6.9,7.8
1.32,6.7,7.1
1.38,6.5,7.1
1.44,6.2,6.8
1.51,5.9,6.5
2.64,5.4,10.7
2.95,5.8,14
3.01,6,14.1
3.08,6.2,14.6
3.14,6.3,15
3.39,7.3,16.9
3.45,7.7,17.5
3.52,7.8,17.4
3.58,8.1,17.5
3.64,8.1,17.2
3.71,8.4,17.6
3.77,8.6,17.9
3.83,8.9,18.1
3.89,9.1,18.2
3.95,9.3,18.4
4.02,9.4,18.6
4.08,9.6,18.7
4.15,10,18.7
4.21,10.7,18.4
4.27,11,18.5
4.33,11.7,18.5
4.4,12.7,18.1
4.46,12.9,17.1
4.52,13.2,18.5
4.59,13.3,18.5
4.65,13.7,18.7
4.71,14.3,18.7
4.78,14.4,18.9
4.84,14.7,19.4
4.9,15.4,18.7
4.96,15.4,18.6
5.03,15.7,18.5
5.09,16.2,18.4
5.15,16.7,18.6
5.22,17.4,17.8
5.28,17.7,18
5.34,18,18.8
5.4,18.6,18.6
5.46,19,19.1
5.53,19.9,18.2
5.59,18.9,19.1
5.65,19,19.1
5.72,19.2,19.1
5.78,20.5,19.3
5.84,20.9,19.5
5.91,21,19.6
5.91,20.7,19.4
5.98,21.3,19.7
6.05,21.8,19.8
6.11,22.1,20.4
6.18,22.1,20.1
6.24,22.5,20
6.3,22.6,19.7
6.36,22.5,19.7
6.43,22.7,19.8
6.49,22.7,19.2
6.55,23.9,19.7
6.61,22.8,20.3
6.68,22.9,20.3
6.74,23,20.4
6.8,23.2,20.3
6.87,20.2,20.2
6.93,23.3,20.2
6.99,23,20.4
7.05,23.1,20.4
7.12,23.4,20.1
7.18,23.4,20.4
7.24,23.7,20.5
7.31,23.8,20.7
7.37,23.9,20.4
7.43,23.7,20.6
7.5,23.8,20.5
7.56,23.9,20.5
7.62,23.8,20.9
7.68,24.4,20.9
7.75,24.8,20.9
7.81,25,21.1
7.87,26.2,20.6
7.94,24.6,20.9
8,24.5,20.8
8.06,24.7,20.9
8.12,24.5,20.8
8.18,25,21
8.25,25.9,21.1
8.31,25.4,21.3
8.37,24.6,21.2
8.44,24.9,21.1
8.5,25.1,21
8.56,25,21
8.63,26.3,21
8.69,25.2,21.2
8.75,24.6,20.9
8.82,25,21
8.88,26.9,21.6
8.94,24.9,21.2
9.01,24.8,21.3
9.07,24.9,21.2
9.13,24.8,21
9.2,26.1,21.4
9.26,26.1,21.7
9.32,25.9,21.5
9.38,25.5,21.7
9.45,25.7,21.4
9.7,23.9,21.8
9.82,24.1,21.4
9.88,24,21.4
9.95,24.2,21.5
10.01,24.3,22.2
10.07,23.8,21.4
10.14,23.7,21.5
10.2,23.5,21.4
10.26,22.5,21.4
10.39,23,22.2
10.45,22.8,22.2
10.51,22.6,22.2
10.57,22.1,22.1
10.64,21.8,22.1
10.7,20.6,20.6
10.76,21.8,22.9
10.83,21.6,23.1
10.89,20.5,22.7
10.95,20.7,23.4
11.01,20.5,23.2
11.08,19.7,22.6
11.14,19.4,22
11.2,19.3,22.4
11.26,18.5,22.5
11.32,18.6,23.4
11.38,18.8,23.4
11.45,17.7,23.1
11.51,17.1,22.6
11.57,18.8,26.4
11.95,16.5,22.7
11.95,16.4,22.7
12.08,16.4,22.9
12.14,16.3,23
12.2,16,23.2
12.27,16,23.3
12.33,15.9,23.5
12.39,15.9,23.4
12.46,16,23.3
12.52,15.9,23.3
12.58,15.9,22.9
12.64,15.9,23.1
12.71,15.9,23.2
12.77,15.9,23.2
12.83,15.8,23
