# time (s), x(cm), y(cm)
0,9.9,10
0.06,9.9,10
0.13,9.9,9.9
0.19,9.6,10.1
0.25,9.3,10.3
0.31,9,10.5
0.45,9,10.5
0.45,9,10.5
0.45,9.3,9.3
0.8,9.3,8.9
0.93,9.3,8.9
0.93,10.3,8.8
1.1,10.5,8.6
1.16,10.5,8.5
1.23,10.4,8.7
1.29,10.9,8.5
1.37,10.2,8.6
1.49,10.3,8.5
1.55,10.3,8.6
1.62,10.3,8.6
1.68,10.3,8.8
1.74,10.1,8.7
1.81,10.3,8.9
1.87,10.6,9
1.93,10.8,9.2
2,11,9.3
2.06,10.9,9.4
2.12,10.8,9.7
2.18,11.1,9.3
2.25,10.9,9.4
2.31,11.2,9.5
2.37,11.3,9.8
2.44,11.6,9.8
2.5,11.3,9.9
2.56,11.2,9.8
2.62,11.2,9.9
2.69,11.9,10.1
2.75,12.6,10.1
2.81,13.3,10.2
2.88,12.6,10.2
2.98,12.6,10.3
3.05,13,10.6
3.17,13.1,10.7
3.23,13.3,10.9
3.3,13.4,10.8
3.36,13.5,10.6
3.42,13.6,10.5
3.48,13.8,10.6
3.55,14,10.4
3.61,14.2,10.5
3.67,14.4,10.6
3.74,14.2,10.6
3.8,14.4,10.7
3.86,14.6,10.7
3.92,14.9,10.8
3.99,14.5,11
4.05,14.9,11.1
4.11,15.6,12
4.17,16.7,12.8
4.24,16.7,12.8
4.3,17.1,12.7
4.36,17,12.8
4.43,17.8,12.7
4.49,18.3,12.8
4.55,18.5,12.9
4.61,19,13.3
4.68,20.6,14.2
4.74,21.3,14.5
4.81,21.4,14.3
4.87,21.6,14.3
4.93,21.9,14.5
4.99,22.4,14.5
5.06,23.2,14.8
5.12,24.9,14.9
5.18,26,15.2
5.25,26.5,15.5
5.31,27.2,15.6
5.37,27.3,15.7
5.43,27.9,15.8
5.5,28.1,16.1
5.56,29.8,15.9
5.62,30.9,16.6
5.68,31.3,16.9
5.75,32.3,16.6
5.81,32.6,17
5.87,32.7,17.3
5.94,32.9,17.2
6,33.9,17.2
6.06,35,17.4
6.12,35.7,18.2
6.18,35.8,17.9
6.25,35.7,17.9
6.31,36,17.9
6.37,36,17.8
6.44,36.2,17.7
6.5,36.5,17.9
6.56,36.5,18.1
6.62,36.3,18.1
6.69,36.5,18.1
6.75,36.6,18.3
6.81,36.7,18.3
6.87,36.6,18.7
6.94,37.3,19
7,37.9,19.3
7.06,38.1,19.7
7.13,37.9,19.8
7.19,37.9,19.8
7.25,38.1,19.8
7.32,37.9,19.9
7.38,37.9,20.1
7.44,38.4,20.4
7.5,38.7,20.8
7.57,39.9,21.7
7.63,40.4,23.1
7.69,41.1,23.2
7.76,41.3,23.8
7.82,41.9,24.3
7.88,41.9,24.5
7.95,42.1,24.5
8.01,42.6,24.9
8.07,42.7,25.7
8.14,43.2,26.1
8.2,43.5,26.2
8.26,43.6,26.6
8.32,43.9,27
8.39,44.3,27.6
8.45,44.5,28.2
8.51,44.5,29
8.57,44.9,30.2
8.64,45.7,31.8
8.7,45.7,32.8
8.76,45.9,33.4
8.82,46.2,34.1
8.89,46.2,34.3
8.95,46.1,34.5
9.01,46.3,35.1
9.08,46.8,36.2
9.14,47.2,37.5
9.2,47.3,38.2
9.27,47.6,38.8
9.33,47.4,39
9.39,47.5,39.5
9.46,47.7,40.3
9.52,47.8,40.8
9.58,47.8,40.7
9.65,47.5,40.9
9.71,47.5,41
9.77,47.5,41.2
9.83,47.3,41.6
9.9,47.5,42.2
9.96,47.4,42.7
10.02,47.4,43.1
10.08,45.2,44.3
10.15,47.4,45.2
10.21,47.2,46.2
10.27,47.4,47.1
10.34,47.3,47.3
10.4,47.6,47.6
10.46,47.6,47.9
10.52,47.6,48.4
10.59,48.6,47.7
10.65,48.2,50.4
10.71,48.1,51
10.77,48.1,51.7
10.84,48.5,51.9
10.9,48.2,52.1
10.96,48.4,52.4
11.02,48.6,52.9
11.09,48.7,53.9
11.15,48.7,55
11.55,49.1,56.7
11.67,49.1,56.8
11.73,49.1,56.8
11.8,49.3,57.6
11.86,49.4,57.8
11.92,49.6,58.1
11.99,49.9,58.6
12.05,50,58.9
12.11,50.3,59.2
12.17,50.9,59.3
12.45,51.2,60.8
12.52,51.7,61
12.58,52.3,61.4
12.64,52.4,61.7
12.71,52.8,61.9
12.77,53,62.3
12.83,53,62.6
12.95,53.4,62.8
13.02,54.1,62.8
13.08,54.6,63.1
13.15,54.7,63.3
13.21,54.7,63.2
