timestamp_s,vicon_x_cm,vicon_y_cm
0.06,5.4,8.9
0.12,5.4,8.8
0.18,5.4,8.8
0.25,5.4,8.8
0.31,5.4,8.7
0.37,5.1,8.9
0.44,4.6,9.9
0.5,4.6,10.2
0.56,5,10.5
0.63,5.1,10.4
0.69,4.6,10.4
0.75,4.6,10.4
0.81,3.5,10.5
0.88,4.2,10.7
0.94,3.9,10.5
1,2.8,9.4
1.07,2.9,9.2
1.13,3.2,9.1
1.19,4.3,9.9
1.25,4.5,10
1.32,4.5,9.9
1.38,4.6,9.9
1.45,4.7,9.4
1.51,4.5,8.8
1.57,4.5,9.1
1.63,4.5,9.1
1.7,4.6,9.4
1.76,4.8,9.4
1.82,5.2,9.7
1.89,6.2,10.5
1.95,7.8,11.9
2.01,8.7,12.7
2.08,9.1,11.3
2.14,8.9,11.3
2.21,8.9,11.7
2.27,8.9,11.7
2.33,9.3,11.4
2.4,10.3,10.6
2.46,10.3,8.6
2.52,10,9.1
2.58,10,9.4
2.65,10.3,9.2
2.71,10.7,9
2.77,11.4,9
2.83,11.8,9
2.9,11.6,8.7
2.96,11.6,8.1
3.02,11.9,7.9
3.08,12.3,8.3
3.15,12.7,8.7
3.21,12.9,8.6
3.27,13.5,8.3
3.33,14.6,8.3
3.39,16,8.5
3.46,16,8.9
3.52,16.1,8.8
3.58,15.8,8.5
3.65,15.7,8.7
3.71,15.8,8.8
3.77,15.9,8.6
3.83,16.3,7.8
3.9,16.4,7.6
3.96,16.4,7.5
4.02,16.6,7.8
4.08,16.8,7.9
4.15,17.1,8
4.21,17.3,7.8
4.27,18.1,8.1
4.34,18.5,8.1
4.4,19.6,7.9
4.46,20.3,7.7
4.52,20.3,7.3
4.58,20.7,6.8
4.64,20.9,6.6
4.71,21.4,6.7
4.77,22.2,6.4
4.9,22.8,6.1
4.96,23,5.7
5.02,23.2,5.9
5.09,23.3,5.8
5.15,24.3,6
5.21,24.6,5.5
5.28,25,5.5
5.34,25.6,5.4
5.4,26.4,5.4
5.46,26.5,5.4
5.53,26.6,5.3
5.59,27.1,4.6
5.65,27.8,4.2
5.71,27.7,4.5
5.78,28,4.7
5.84,29.2,5.1
5.9,30,4.8
5.97,30,4.8
6.03,30.2,4.9
6.09,32.1,4.5
6.15,32.9,5.2
6.22,33.6,5.5
6.28,34.1,5.6
6.34,34.7,5.7
6.41,34.8,6.2
6.47,35.1,5.8
6.53,35.4,5.7
6.6,36,5.5
6.66,36.4,6
6.72,36.4,6.2
6.79,36.6,6.1
6.85,36.9,6.3
6.91,36.9,6.7
6.98,37,7.1
7.04,36.7,7.4
7.1,36.2,8.8
7.16,35.9,10.6
7.23,35.8,11
7.29,35.8,11.3
7.35,35.7,11.5
7.41,35.6,11.6
