timestamp_s,vicon_x_cm,vicon_y_cm
0.06,9.7,8.9
0.12,9.6,8.9
0.18,9.5,8.8
0.25,9.4,8.8
0.31,9.4,8.7
0.37,9.3,8.7
0.44,9.2,8.6
0.5,10.1,8.5
0.56,8.9,8.4
0.62,8.8,8.4
0.69,8.7,8.3
0.75,8.6,8.3
0.81,8.4,8.3
0.88,8.3,8.2
0.94,8.2,8.2
1,8.1,8.2
1.06,8,8.2
1.12,7.9,8.2
1.19,7.8,8.1
1.25,7.8,8.1
1.31,7.7,8.1
1.38,7.6,8.1
1.44,7.6,8
1.5,7.5,8
1.56,7.4,7.9
1.62,7.3,7.9
1.69,7.3,7.8
1.75,7.3,7.8
1.81,7.3,7.8
1.88,7.2,7.8
1.94,7.2,7.8
2,7.2,7.8
2.06,7.2,7.8
2.12,7.1,7.8
2.19,7.1,7.7
2.25,7,7.7
2.31,7,7.7
2.37,6.9,7.6
2.43,6.9,7.6
2.5,6.9,7.6
2.56,6.8,7.6
2.62,6.8,7.7
2.68,6.7,7.7
2.75,6.7,7.7
2.81,6.6,7.6
2.87,6.5,7.6
2.93,6.5,7.7
3,6.5,7.6
3.06,6.4,7.6
3.12,6.3,7.6
3.25,6.3,7.6
3.31,6.3,7.6
3.37,6.3,7.6
3.44,6.1,7.6
3.5,6,7.6
3.56,6,7.5
3.63,5.9,7.5
3.69,5.8,7.5
3.75,5.8,7.5
3.82,5.7,7.3
3.88,5.6,7.4
3.94,5.5,7.4
4.01,5.5,7.4
4.07,5.4,7.4
4.13,5.4,7.3
4.2,5.4,7.3
4.26,5.3,7.3
4.32,5.3,7.3
4.39,5.3,7.3
4.45,5.3,7.3
4.51,5.2,7.3
4.57,5.2,7.3
4.64,5.2,7.3
4.7,5.2,7.3
4.76,5.2,7.3
4.82,5.1,7.3
4.89,5.1,7.2
4.95,5.1,7.3
5.01,5.1,7.3
5.08,5.1,7.2
5.14,5.1,7.2
5.2,5.1,7.3
5.26,5.1,7.2
5.33,5.1,7.6
5.39,5.2,7.2
5.45,5.2,7.3
5.52,5.2,7.4
5.58,5.2,7.4
5.64,5.2,7.4
5.71,5.2,7.5
5.77,5.2,7.5
5.83,5.2,7.5
5.89,5.2,7.4
5.95,5.3,7.2
6.08,5.3,7.1
6.21,5.2,7.3
6.27,5.2,7.5
6.33,5.1,7.5
6.4,5.1,7.4
6.46,5.1,7.6
6.52,5.1,7.7
6.58,5,7.7
6.65,5,7.7
6.71,4.9,7.8
6.84,4.8,7.8
6.9,4.9,7.9
6.96,4.8,7.9
7.02,4.8,7.9
7.09,5.2,8.3
8.1,4,7.8
8.16,4.2,8.4
8.22,4.2,8.4
8.28,4.6,8.7
8.35,4.2,8.6
8.41,4,8.6
8.47,4.2,8.7
8.53,4.2,8.8
8.6,4.2,8.8
8.66,4.1,8.8
8.72,3.8,8.7
8.99,4.2,9.1
9.17,4.3,9.3
9.24,4.3,9.4
9.3,4.3,9.4
9.36,4.4,9.6
9.49,4.2,9.7
9.49,4.1,9.7
9.61,4.2,9.7
9.67,4.3,9.8
9.74,4.3,9.8
9.8,4.2,9.8
9.86,4.3,9.9
9.93,4.3,9.9
9.99,4.3,10
10.05,4.3,10
10.11,4.2,10
10.3,4.5,10.3
10.37,4.5,10.4
10.43,4.5,10.5
10.49,4.5,10.6
10.55,4.4,10.7
10.62,4.3,10.7
10.68,4.6,11
10.74,4,10.7
10.81,4,10.7
10.81,4.6,11.2
10.96,4.7,11.2
11.03,4.8,11.4
11.09,4.9,11.5
11.15,5.1,11.7
11.25,4.9,11.8
11.34,4.9,11.9
11.4,5,12
11.53,5.2,12.2
11.59,5.2,12.3
11.65,5,12.5
11.71,5.3,12.4
11.78,5.3,12.5
11.9,5.2,12.8
11.97,5.2,12.9
12.09,5.2,13.1
12.15,5.3,13.2
12.22,5.3,13.2
12.28,5.3,13.3
12.34,5,13.3
12.47,5.2,13.4
12.53,5.1,13.5
12.59,5.2,13.6
12.66,5.4,13.7
12.72,5.3,13.8
12.78,5.4,14
12.84,5.6,14
12.91,5.7,14.2
12.97,5.7,14.4
13.03,5.7,14.4
13.1,5.7,14.5
13.16,5.7,14.6
13.22,5.7,14.8
13.28,5.7,14.8
13.35,5.5,14.9
13.41,5.7,15.1
13.47,5.7,15.1
13.54,5.5,15.3
13.6,5.5,15.3
13.66,5.5,15.4
13.72,5.4,15.4
13.79,5.4,15.5
13.85,4.9,15.5
13.97,5.4,15.7
14.04,5.4,15.7
14.1,5.5,15.8
14.16,5.6,15.9
14.29,5.6,16.1
14.35,5.6,16.2
14.42,5.5,16.3
14.48,5.4,16.3
14.54,5.3,16.4
14.6,5.4,16.4
14.67,5.4,16.4
14.73,5.3,16.5
14.79,5.3,16.4
14.85,5.3,16.5
14.92,5.2,16.5
14.98,5.2,16.6
15.04,5.2,16.7
15.11,4.8,16.6
15.17,4.4,16.7
15.23,4.7,16.8
15.3,4.7,16.8
15.36,4.8,16.7
15.42,5.1,16.8
15.61,5,16.9
15.67,5.1,17
15.74,4.8,16.9
15.8,5.2,17.2
15.86,4.9,17
15.93,4.8,17
16.46,4.8,17.2
16.52,4.7,17.6
16.58,4.3,17.7
16.64,4.5,17.7
16.7,4.6,17.7
17.07,4.7,17.8
17.13,4.7,17.8
17.19,4.8,17.8
17.25,5,17.7
17.32,4.9,17.7
17.57,5.1,18.3
17.63,3.6,16.6
17.94,5.2,17.8
18.07,5.1,17.7
18.13,5,17.7
18.2,5,17.7
18.26,5.2,17.6
18.7,5.2,17.4
18.76,5.3,17.4
18.82,5.3,17.4
19.28,5.5,17.7
19.34,5.5,17.8
19.4,5.4,17.8
19.47,5.5,17.7
19.53,5.6,17.5
19.61,5.6,17.5
19.78,5.6,17.8
19.84,5.8,17.7
19.91,5.9,17.7
19.97,6,17.7
20.03,6,17.6
20.1,6,17.8
20.16,6.1,17.7
20.22,5.9,17.6
20.29,6.2,17.7
20.35,6.4,17.4
20.41,6.6,17.4
20.49,6.7,17.6
20.58,6.3,18.4
20.65,6.9,17.8
20.71,6.6,18.4
20.77,6.6,18.5
20.84,7.1,17.9
20.9,7.1,18
20.96,7.1,18
21.03,7.2,18
21.09,7.2,18.1
21.15,7.3,18.2
21.21,7.4,18.1
21.28,7.5,18.1
21.34,7.6,18.1
21.4,7.7,18.1
21.46,7.7,18.2
21.53,7.8,18.2
21.59,7.8,18.3
21.65,7.9,18.4
21.71,8,18.4
21.78,8.1,18.5
